SALE TYPE,PROPERTY TYPE,ADDRESS,CITY,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,SOURCE
MLS Listing,Vacant Land,4166 Easter Ave,Dallas,75216,9900,0,,Oak Cliff Gardens,,,,17,,,Active,NTREIS
MLS Listing,Vacant Land,4822 Garland Ave,Dallas,75223,10000,0,,Caldwells R D,,2875,,7,,,Active,NTREIS
MLS Listing,Vacant Land,2858 Farragut St,Dallas,75215,13900,0,,Lincoln Place,,,,1,,,Active,NTREIS
MLS Listing,Vacant Land,3505 S Trunk Ave,Dallas,75215,15000,0,,Longs S S Oakwood,,3659,,57,,,Active,NTREIS
MLS Listing,Vacant Land,2855 Peary Ave,Dallas,75215,16000,0,,Lincoln Place,,,,112,,,Active,NTREIS
MLS Listing,Vacant Land,3606 Spring Ave,Dallas,75210,16900,0,,Sunnyside,,4748,,131,,,Active,NTREIS
MLS Listing,Vacant Land,4818 Garland Ave,Dallas,75223,17000,0,,Caldwells R D,,5009,,7,,,Active,NTREIS
MLS Listing,Vacant Land,2 Thoroughbred,Duncanville,75116,18000,0,,Thoroughbred Hills Rep,,16248,,1,,42,Active,NTREIS
MLS Listing,Vacant Land,3700 Ruskin St,Dallas,75215,18000,0,,Ruskin & Metropolitan,,4269,,40,,,Active,NTREIS
MLS Listing,Vacant Land,5035 Echo Ave,Dallas,75215,18000,0,,Oakland Place,,4704,,11,,,Active,NTREIS
MLS Listing,Vacant Land,1603 Caldwell St,Dallas,75223,18749,0,,Dickermans P L,,3790,,12,,,Active,NTREIS
MLS Listing,Vacant Land,1631 Pine St,Dallas,75215,20000,0,,Colonial,,7492,,31,,,Active,NTREIS
MLS Listing,Vacant Land,1635 Pine St,Dallas,75215,20000,0,,Colonial,,7492,,31,,,Active,NTREIS
MLS Listing,Vacant Land,2246 Harding St,Dallas,75215,20000,0,,Ervay Cedars,,6286,1985,136,,,Active,NTREIS
MLS Listing,Vacant Land,2834 Lebrock St,Dallas,75241,20000,0,,Carver Heights 02,,6490,,89,,,Active,NTREIS
MLS Listing,Vacant Land,3144 Harmon St,Dallas,75215,20000,0,,Harmon & Trunk Liberty Place B,,3528,,118,,,Active,NTREIS
MLS Listing,Vacant Land,5319 Colonial Ave,Dallas,75215,20000,0,,Ervay Place,,7013,,3,,,Active,NTREIS
MLS Listing,Vacant Land,4750 Burma Rd,Dallas,75216,20500,0,,Central Ave,,,,38,,,Active,NTREIS
MLS Listing,Vacant Land,2511 Fatima Ave,Dallas,75241,23000,0,,Carver Heights,,6142,,44,,,Active,NTREIS
MLS Listing,Vacant Land,4840 Fellows Ln,Dallas,75216,24900,0,,Central Ave,,7318,,67,,,Active,NTREIS
MLS Listing,Vacant Land,12045 Forest Glen Ln,Balch Springs,75180,25000,0,,Pleasant Forest,,8059,,4,,,Active,NTREIS
MLS Listing,Vacant Land,12049 Forest Glen Ln,Balch Springs,75180,25000,0,,Pleasant Forest,,8059,,4,,,Active,NTREIS
MLS Listing,Vacant Land,3143 Mcdermott Ave,Dallas,75215,25000,0,,Liberty Place Add,,3354,,201,,,Active,NTREIS
MLS Listing,Vacant Land,4219 Ramona Ave,Dallas,75216,25000,0,,Bellevue,,,,36,,,Active,NTREIS
MLS Listing,Vacant Land,6316 Teague Dr,Dallas,75241,25000,0,,Alameda Heights,,9583,,64,,,Active,NTREIS
MLS Listing,Vacant Land,2919 SIMPSON STUART Rd,Dallas,75241,26000,0,,CARVER HEIGHTS,,6166,,72,,,Active,NTREIS
MLS Listing,Vacant Land,2955 Simpson Stuart Rd,Dallas,75241,26900,0,,Carver Heights,,,,1,,,Active,NTREIS
MLS Listing,Vacant Land,5410 Riverside Dr,Dallas,75235,27000,0,,Arlington Park Estates,,8756,,36,,,Active,NTREIS
MLS Listing,Vacant Land,6402 Teague Dr,Dallas,75241,27500,0,,Alameda Heights,,7275,,164,,,Active,NTREIS
MLS Listing,Vacant Land,2335 Fatima Ave,Dallas,75241,29000,0,,Alameda Heights,,10934,,128,,,Active,NTREIS
MLS Listing,Vacant Land,2823 Marder St,Dallas,75215,29900,0,,South Lawn Addition,,5892,,12,,,Active,NTREIS
MLS Listing,Vacant Land,509 N Moore St,Dallas,75203,30000,0,,Dewberrys,,2483,,169,,,Active,NTREIS
MLS Listing,Single Family Residential,4017 Sonny Cir,Dallas,75210,32000,1,1,Lagow Spgs,444,3833,1920,38,72,,Active,NTREIS
MLS Listing,Vacant Land,1231 Diceman Ave,Dallas,75203,34813,0,,Diceman Annie,,13329,,45,,,Active,NTREIS
MLS Listing,Vacant Land,1006 Edgemont Ave,Dallas,75216,35000,0,,Edgemont,,11935,,129,,,Active,NTREIS
MLS Listing,Vacant Land,1631 Fordham Rd,Dallas,75216,35000,0,,Bellevue,,9627,,58,,,Active,NTREIS
MLS Listing,Vacant Land,4943 KILDARE Ave,Dallas,75216,35100,0,,GLENDALE ACRES,,12197,,57,,,Active,NTREIS
MLS Listing,Vacant Land,1227 Diceman Ave,Dallas,75203,35916,0,,Diceman Annie,,13761,,248,,,Active,NTREIS
MLS Listing,Vacant Land,937 Deerwood Dr,Dallas,75232,36900,0,,Polk Terrace,,8364,1956,21,,,Active,NTREIS
MLS Listing,Vacant Land,3201 Crossman Ave,Dallas,75212,37500,0,,Edgefield,,2788,,14,,,Active,NTREIS
