SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,4329 Timberglen Rd,Dallas,TX,75287,345999,3,2.5,Parkway Village Sec Two,2507,4792,1989,17,138,63,Active,,,http://www.redfin.com/TX/Dallas/4329-Timberglen-Rd-75287/home/32028523,NTREIS,14026273,N,Y,33.004279,-96.8357071
MLS Listing,,Condo/Co-op,5924 Hudson St Unit C,Dallas,TX,75206,350000,2,2.5,5924 Hudson Condos,1286,9714,2012,19,272,185,Active,April-7-2019 01:00 PM,April-7-2019 03:00 PM,http://www.redfin.com/TX/Dallas/5924-Hudson-St-75206/unit-C/home/59419618,NTREIS,14038354,N,Y,32.8097472,-96.765764
MLS Listing,,Single Family Residential,6020 N Jim Miller Rd,Dallas,TX,75228,310000,3,2.0,Buckner Terrace Add,1884,11369,1964,23,165,,Active,,,http://www.redfin.com/TX/Dallas/6020-N-Jim-Miller-Rd-75228/home/31103396,NTREIS,14035230,N,Y,32.7988016,-96.6995501
MLS Listing,,Single Family Residential,930 Lexington Dr,Rockwall,TX,75087,329000,3,2.0,Turtle Cove Ph 3,3056,7013,2001,45,108,92,Active,March-30-2019 01:00 PM,March-30-2019 03:00 PM,http://www.redfin.com/TX/Rockwall/930-Lexington-Dr-75087/home/33939778,NTREIS,14013071,N,Y,32.9046108,-96.4709293
MLS Listing,,Single Family Residential,211 S Montreal Ave,Dallas,TX,75208,349900,3,2.0,City Dallas,1611,10716,1929,141,217,,Active,,,http://www.redfin.com/TX/Dallas/211-S-Montreal-Ave-75208/home/30832275,NTREIS,13969519,N,Y,32.7438668,-96.8543826
MLS Listing,,Multi-Family (2-4 Unit),16419 Lauder Ln,Dallas,TX,75248,319000,3,2.0,Highland North Add Sec 02,2270,6011,1976,1,141,,Active,,,http://www.redfin.com/TX/Dallas/16419-Lauder-Ln-75248/home/31084230,NTREIS,14054845,N,Y,32.979596,-96.772344
MLS Listing,,Single Family Residential,6710 Northcreek Ln,Dallas,TX,75240,339900,2,2.0,Northwood on the creek,1652,4530,1981,1,206,65,Active,,,http://www.redfin.com/TX/Dallas/6710-Northcreek-Ln-75240/home/31016118,NTREIS,14049014,N,Y,32.925805,-96.7879882
MLS Listing,,Single Family Residential,406 S Montclair Ave,Dallas,TX,75208,339000,2,2.0,Winnetka Heights,1260,8102,1923,1,269,,Active,,,http://www.redfin.com/TX/Dallas/406-S-Montclair-Ave-75208/home/30832154,NTREIS,14053403,N,Y,32.7415783,-96.8463858
MLS Listing,,Single Family Residential,7251 Syracuse Dr,Dallas,TX,75214,350000,3,2.0,University Terrace Rev,1390,7231,1959,1,252,,Active,,,http://www.redfin.com/TX/Dallas/7251-Syracuse-Dr-75214/home/30869951,NTREIS,14054044,N,Y,32.8540974,-96.7342837
MLS Listing,,Single Family Residential,1629 W Pentagon Pkwy,Dallas,TX,75224,315000,3,2.0,Oak Park Estates,1890,9670,1960,1,167,,Active,,,http://www.redfin.com/TX/Dallas/1629-W-Pentagon-Pkwy-75224/home/30900357,NTREIS,14054202,N,Y,32.7010117,-96.8487731
MLS Listing,,Condo/Co-op,2305 Worthington St #338,Dallas,TX,75204,305000,1,1.0,Belvedere Condos,1056,72527,1999,1,289,479,Active,,,http://www.redfin.com/TX/Dallas/2305-Worthington-St-75204/unit-338/home/32218107,NTREIS,14053081,N,Y,32.7957775,-96.7982216
MLS Listing,,Single Family Residential,9643 Millridge Dr,Dallas,TX,75243,349900,3,2.5,Forest Meadows,2338,9496,1970,1,150,,Active,,,http://www.redfin.com/TX/Dallas/9643-Millridge-Dr-75243/home/31070463,NTREIS,14051538,N,Y,32.9043974,-96.7291832
MLS Listing,,Vacant Land,1908 Lucille St,Dallas,TX,75204,309000,0,,Mayo's,,6250,,1,,,Active,,,http://www.redfin.com/TX/Dallas/1908-Lucille-St-75204/home/160885177,NTREIS,14052623,N,Y,32.8012,-96.786382
MLS Listing,,Single Family Residential,,Dallas,TX,75238,339000,3,2.0,Lake Highlands Estates,1698,8015,1958,1,200,,Active,,,http://www.redfin.com/TX/Dallas/Undisclosed-address-75238/home/31030642,NTREIS,14054161,N,Y,32.8785757,-96.7071556
MLS Listing,,Single Family Residential,2713 Lakewood Dr,Rowlett,TX,75088,319900,3,2.5,Lakewood Estate,2414,12763,1977,1,133,,Active,March-31-2019 01:00 PM,March-31-2019 03:00 PM,http://www.redfin.com/TX/Rowlett/2713-Lakewood-Dr-75088/home/33914757,NTREIS,14053949,N,Y,32.8877164,-96.5176212
MLS Listing,,Single Family Residential,13421 Buckthorne Cir,Dallas,TX,75243,325000,3,2.5,Cimmaron Ridge 01,2369,12066,1979,1,137,,Active,,,http://www.redfin.com/TX/Dallas/13421-Buckthorne-Cir-75243/home/31100896,NTREIS,14051774,N,Y,32.9309078,-96.7064452
MLS Listing,,Single Family Residential,1714 Kiltartan Dr,Dallas,TX,75228,319000,3,2.0,Lake Park Estates 6,1776,9148,1957,1,180,,Active,,,http://www.redfin.com/TX/Dallas/1714-Kiltartan-Dr-75228/home/31013161,NTREIS,14053915,N,Y,32.8240127,-96.6850937
MLS Listing,,Single Family Residential,6545 Victoria Ave,Dallas,TX,75209,325000,2,2.0,Webster & Woods North Park,996,6098,1932,2,326,,Active,,,http://www.redfin.com/TX/Dallas/6545-Victoria-Ave-75209/home/30817594,NTREIS,14053765,N,Y,32.8381522,-96.831457
MLS Listing,,Single Family Residential,18616 Featherwood Dr,Dallas,TX,75252,345000,3,2.5,Preston Highlands,2139,7841,1981,2,161,15,Active,,,http://www.redfin.com/TX/Dallas/18616-Featherwood-Dr-75252/home/32164991,NTREIS,14044700,N,Y,33.0049045,-96.7897457
MLS Listing,,Single Family Residential,2134 Springhill Dr,Dallas,TX,75228,308200,3,1.5,Westglen Park Add Un 01,1438,8538,1955,2,214,,Active,,,http://www.redfin.com/TX/Dallas/2134-Springhill-Dr-75228/home/30999322,NTREIS,14053695,N,Y,32.8144176,-96.7037288
MLS Listing,,Single Family Residential,16702 Lauder Ln,Dallas,TX,75248,335000,2,2.0,Highland North Villas,1622,5097,1985,2,207,,Active,March-31-2019 02:00 PM,March-31-2019 04:00 PM,http://www.redfin.com/TX/Dallas/16702-Lauder-Ln-75248/home/31153838,NTREIS,14053382,N,Y,32.9840811,-96.772027
MLS Listing,,Single Family Residential,10651 Larchfield Ln,Dallas,TX,75238,349900,3,2.0,Lake Highlands Estates,1292,7449,1959,2,271,,Active,,,http://www.redfin.com/TX/Dallas/10651-Larchfield-Ln-75238/home/31030712,NTREIS,14052116,N,Y,32.8769873,-96.7014495
MLS Listing,,Condo/Co-op,3201 Cedarplaza Ln #703,Dallas,TX,75235,315000,3,3.5,Plaza at Cedar Springs,1771,56933,2008,2,178,375,Active,March-30-2019 01:00 PM,March-30-2019 03:00 PM,http://www.redfin.com/TX/Dallas/3201-Cedar-Plaza-Ln-75235/unit-703/home/30776957,NTREIS,14053241,N,Y,32.8231551,-96.8252679
MLS Listing,,Single Family Residential,2841 W 12th St,Dallas,TX,75211,300000,3,2.0,Ravinia Heights,1578,7231,1926,2,190,,Active,March-30-2019 02:00 PM,March-30-2019 04:00 PM,http://www.redfin.com/TX/Dallas/2841-W-12th-St-75211/home/30838751,NTREIS,14048070,N,Y,32.7414907,-96.8672458
MLS Listing,,Single Family Residential,11328 Flamingo Ln,Dallas,TX,75218,324950,3,2.0,Lochwood,1325,8581,1955,2,245,,Active,,,http://www.redfin.com/TX/Dallas/11328-Flamingo-Ln-75218/home/30863742,NTREIS,14053189,N,Y,32.8539063,-96.684676
