SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,April-1-2019,Single Family Residential,2535 Dorrington Dr,Dallas,TX,75228,335000,3,2.0,Claremont 05 Inst,1656,7971,1959,8,202,1,Sold,,,http://www.redfin.com/TX/Dallas/2535-Dorrington-Dr-75228/home/30968002,NTREIS,14021462,N,Y,32.8021421,-96.7027259
PAST SALE,April-5-2019,Multi-Family (2-4 Unit),4118 Brooktree Ln,Dallas,TX,75287,355000,3,2.5,Bent Tree West Ph 2,2022,,1980,4,176,31,Sold,,,http://www.redfin.com/TX/Dallas/4118-Brooktree-Ln-75287/home/31846318,NTREIS,14030180,N,Y,32.98793,-96.839326
PAST SALE,March-19-2019,Single Family Residential,5118 Lahoma St,Dallas,TX,75235,365000,3,2.0,Cedar Spgs Heights,1547,7362,1951,21,236,,Sold,,,http://www.redfin.com/TX/Dallas/5118-Lahoma-St-75235/home/30852140,NTREIS,13996643,N,Y,32.8227591,-96.8221832
PAST SALE,April-2-2019,Single Family Residential,3116 Ponder Dr,Dallas,TX,75229,369900,4,2.0,Chapel Downs Sec 04,2177,10019,1968,7,170,,Sold,,,http://www.redfin.com/TX/Dallas/3116-Ponder-Dr-75229/home/30929888,NTREIS,14038202,N,Y,32.8839827,-96.873232
PAST SALE,February-15-2019,Condo/Co-op,2323 N Houston St #613,Dallas,TX,75219,400000,2,2.0,Terrace Condos,1332,39727,2005,53,300,744,Sold,,,http://www.redfin.com/TX/Dallas/2323-N-Houston-St-75219/unit-613/home/30765376,NTREIS,13956937,N,Y,32.7850316,-96.8100004
PAST SALE,February-20-2019,Single Family Residential,3832 Granbury Dr,Dallas,TX,75287,370000,5,3.0,Midway Meadows Ph 1,2766,7492,1997,48,134,,Sold,,,http://www.redfin.com/TX/Dallas/3832-Granbury-Dr-75287/home/32833185,NTREIS,14012017,N,Y,33.0008341,-96.847035
PAST SALE,February-27-2019,Single Family Residential,4346 Timberglen Rd,Dallas,TX,75287,335000,3,2.0,Parkway Village Sec One,1810,6534,1988,41,185,33,Sold,,,http://www.redfin.com/TX/Dallas/4346-Timberglen-Rd-75287/home/32195679,NTREIS,14012499,N,Y,33.0038524,-96.8347021
PAST SALE,March-15-2019,Single Family Residential,6823 Walnut Hill Ln,Dallas,TX,75230,400000,3,2.0,Crestmanor Estates,1532,,1948,25,261,,Sold,,,http://www.redfin.com/TX/Dallas/6823-Walnut-Hill-Ln-75230/home/30875045,NTREIS,14000131,N,Y,32.8801946,-96.7876945
PAST SALE,March-1-2019,Single Family Residential,11625 Neering Dr,Dallas,TX,75218,329900,3,2.0,Lochwood,1350,7623,1955,39,244,,Sold,,,http://www.redfin.com/TX/Dallas/11625-Neering-Dr-75218/home/30863578,NTREIS,14011892,N,Y,32.8533166,-96.6891462
PAST SALE,March-11-2019,Single Family Residential,5304 Ventana Trl,Dallas,TX,75252,354900,3,2.5,Bent Trail Village,2325,3920,1991,29,153,,Sold,,,http://www.redfin.com/TX/Dallas/5304-Ventana-Trl-75252/home/32040863,NTREIS,14010831,N,Y,33.0112095,-96.8010028
PAST SALE,January-23-2019,Single Family Residential,4407 Rushing Rd,Dallas,TX,75287,325000,3,2.5,Northpointe,2334,5663,1982,76,139,,Sold,,,http://www.redfin.com/TX/Dallas/4407-Rushing-Rd-75287/home/32000618,NTREIS,13972213,N,Y,33.0096526,-96.8359165
PAST SALE,February-6-2019,Single Family Residential,2315 Highlands Creek Rd,Carrollton,TX,75007,379500,4,3.0,Highlands Of Carrollton Sec 2,2326,20212,1983,62,163,,Sold,,,http://www.redfin.com/TX/Carrollton/2315-Highlands-Creek-Rd-75007/home/32954957,NTREIS,13996868,N,Y,33.0151585,-96.8636221
PAST SALE,March-5-2019,Single Family Residential,18924 Misthaven Pl,Dallas,TX,75287,365900,3,2.5,Northpointe II,2353,6970,1985,35,156,,Sold,,,http://www.redfin.com/TX/Dallas/18924-Misthaven-Pl-75287/home/32190179,NTREIS,13994850,N,Y,33.008473,-96.8366702
PAST SALE,January-23-2019,Condo/Co-op,6211 W Northwest Hwy #1906,Dallas,TX,75225,349000,2,2.0,Preston Tower Condo,1132,185522,1966,76,308,846,Sold,,,http://www.redfin.com/TX/Dallas/6211-W-Northwest-Hwy-75225/unit-1906/home/30874190,NTREIS,13871508,N,Y,32.8657656,-96.8003968
