SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,4017 Sonny Cir,Dallas,TX,75210,32000,1,1,Lagow Spgs,444,3833,1920,38,72,,Active,,,http://www.redfin.com/TX/Dallas/4017-Sonny-Cir-75210/home/30805143,NTREIS,14021539,N,Y,32.7704939,-96.7462002
MLS Listing,,Condo/Co-op,7152 Fair Oaks Ave #2132,Dallas,TX,75231,41900,0,1,Lakeview,351,380714,1975,102,119,85,Active,,,http://www.redfin.com/TX/Dallas/7152-Fair-Oaks-Ave-75231/unit-2132/home/30858690,NTREIS,13990420,N,Y,32.8732059,-96.7574778
MLS Listing,,Single Family Residential,4010 Jamacia St,Dallas,TX,75210,55000,1,1,Second Ave,630,6055,1925,1,87,,Active,,,http://www.redfin.com/TX/Dallas/4010-Jamaica-St-75210/home/30805213,NTREIS,14039856,N,Y,32.7728574,-96.7493642
MLS Listing,,Condo/Co-op,4634 Country Creek Dr #1232,Dallas,TX,75236,55000,1,1,Condo Country Creek,739,865276,1974,25,74,220,Active,,,http://www.redfin.com/TX/Dallas/4634-Country-Creek-Dr-75236/unit-1232/home/31058502,NTREIS,14035949,N,Y,32.6970545,-96.8997429
MLS Listing,,Condo/Co-op,6050 Melody Ln #262,Dallas,TX,75231,55000,1,1,Tealwood On The Creek Condo,748,351616,1979,31,74,267,Active,,,http://www.redfin.com/TX/Dallas/6050-Melody-Ln-75231/unit-262/home/30869476,NTREIS,14024990,N,Y,32.8678942,-96.7606844
MLS Listing,,Condo/Co-op,9811 Walnut St #208,Dallas,TX,75243,58900,1,1,Richland Trace Condos,683,383938,1981,78,86,205,Active,,,http://www.redfin.com/TX/Dallas/9811-Walnut-St-75243/unit-208/home/31182142,NTREIS,13985346,N,Y,32.9222424,-96.7160043
MLS Listing,,Multi-Family (2-4 Unit),6225 Howard Ave,Dallas,TX,75227,59000,1,1,Peacock Terrace,724,8843,1948,15,81,,Active,,,http://www.redfin.com/TX/Dallas/6225-Howard-Ave-75227/home/30882759,NTREIS,14042085,N,Y,32.7762638,-96.7104764
MLS Listing,,Condo/Co-op,5003 Skillman St Unit 211A,Dallas,TX,75206,60000,1,1,Arbor Court Condo,300,35284,1970,113,200,94,Active,,,http://www.redfin.com/TX/Dallas/5003-Skillman-St-75206/unit-211A/home/31161139,NTREIS,13984958,N,Y,32.8489219,-96.7613999
MLS Listing,,Condo/Co-op,8110 Skillman St #1067,Dallas,TX,75231,60000,1,1,Windtree Condos,613,343035,1980,23,98,187,Active,,,http://www.redfin.com/TX/Dallas/8110-Skillman-St-75231/unit-1067/home/31064824,NTREIS,14037907,N,Y,32.8865954,-96.7308269
MLS Listing,,Single Family Residential,8801 Slay St,Dallas,TX,75217,60000,3,1,Sw Pt,1284,11151,1955,18,47,,Active,,,http://www.redfin.com/TX/Dallas/8801-Slay-St-75217/home/30924803,NTREIS,14041348,N,Y,32.7304026,-96.6680302
MLS Listing,,Condo/Co-op,9823 Walnut St #301,Dallas,TX,75243,62000,1,1,Richland Trace Condos,423,,1982,73,147,120,Active,,,http://www.redfin.com/TX/Dallas/9823-Walnut-St-75243/unit-301/home/31183245,NTREIS,14004847,N,Y,32.9227059,-96.7144988
MLS Listing,,Condo/Co-op,9831 Walnut St #308,Dallas,TX,75243,62000,1,1,Richland Trace Condos,423,,1983,73,147,120,Active,,,http://www.redfin.com/TX/Dallas/9831-Walnut-St-75243/unit-308/home/31183295,NTREIS,14004842,N,Y,32.922129,-96.7160412
MLS Listing,,Condo/Co-op,7152 Fair Oaks Ave Unit Q1083,Dallas,TX,75231,62500,1,1.5,Lofts Condos,722,380714,1975,73,87,231,Active,,,http://www.redfin.com/TX/Dallas/7152-Fair-Oaks-Ave-75231/unit-Q1083/home/148723975,NTREIS,14004184,N,Y,32.8735759,-96.7567255
MLS Listing,,Condo/Co-op,4630 Country Creek Dr #1214,Dallas,TX,75236,62900,1,1,Condo,548,865276,1974,22,115,221,Active,,,http://www.redfin.com/TX/Dallas/4630-Country-Creek-Dr-75236/unit-1214/home/31058481,NTREIS,14038652,N,Y,32.697221,-96.8999106
MLS Listing,,Condo/Co-op,9801 Walnut St Unit A103,Dallas,TX,75243,63000,1,1,Richland Trace Condos,551,383938,1981,37,114,160,Active,,,http://www.redfin.com/TX/Dallas/9801-Walnut-St-75243/unit-A103/home/160509431,NTREIS,14028200,N,Y,32.9224365,-96.7160786
MLS Listing,,Condo/Co-op,11470 Audelia Rd #357,Dallas,TX,75243,65000,1,1,Cambridge Condos Ph 01 03,730,435295,1983,46,89,274,Active,,,http://www.redfin.com/TX/Dallas/11470-Audelia-Rd-75243/unit-357/home/31164197,NTREIS,14021623,N,Y,32.9021213,-96.7169666
