sale_type,sold_date,property_type,address,city,zip_or_postal_code,price,beds,baths,location,square_feet,lot_size,year_built,days_on_market,price_per_square_feet,hoa_per_month,status,source
PAST SALE,February-1-2019,Vacant Land,2427 Saint Clair Dr,Dallas,75215,9900,0,,Lincoln Manor 02,,,,67,,,Sold,NTREIS
PAST SALE,March-29-2019,Vacant Land,4166 Easter Ave,Dallas,75216,9900,0,,Oak Cliff Gardens,,,,11,,,Sold,NTREIS
PAST SALE,March-19-2019,Vacant Land,1568 Harris Ct,Dallas,75223,10000,0,,Dickermans P L,,4095,,21,,,Sold,NTREIS
PAST SALE,February-15-2019,Vacant Land,2706 Camel Ct,Dallas,75241,15000,0,,Chesterfield Heights Addition,,4650,,53,,,Sold,NTREIS
PAST SALE,February-15-2019,Vacant Land,2712 Camel Ct,Dallas,75241,15000,0,,Chesterfield Heights Addition,,4650,,53,,,Sold,NTREIS
PAST SALE,February-15-2019,Vacant Land,2708 Camel Ct,Dallas,75241,15000,0,,Chesterfield Heights Addition,,4650,,53,,,Sold,NTREIS
PAST SALE,February-15-2019,Vacant Land,2710 Camel Ct,Dallas,75241,15000,0,,Chesterfield Heights Addition,,4650,,53,,,Sold,NTREIS
PAST SALE,January-9-2019,Vacant Land,2401 Bethurum Ave,Dallas,75215,15500,0,,Lincoln Manor Add #2,,,,90,,,Sold,NTREIS
PAST SALE,February-8-2019,Vacant Land,2723 Frazier St,Dallas,75210,15600,0,,Mays Brook Spring Ave,,4269,,60,,,Sold,NTREIS
PAST SALE,March-29-2019,Vacant Land,3734 Ruskin St,Dallas,75215,16900,0,,Guaranty Investors,,,,11,,,Sold,NTREIS
PAST SALE,March-8-2019,Vacant Land,3002 Rochester St,Dallas,75215,16900,0,,Rochester Park,,,,32,,,Sold,NTREIS
PAST SALE,February-28-2019,Vacant Land,2919 Reed Ln,Dallas,75215,17000,0,,Great Oaks,,,,40,,,Sold,NTREIS
PAST SALE,January-25-2019,Single Family Residential,3739 Spence St,Dallas,75215,17000,3,3,Spence & Romine Ervay Street H,2007,5489,1911,74,8,,Sold,NTREIS
PAST SALE,February-22-2019,Vacant Land,13604 Fernheath Ln,Dallas,75253,17500,0,,Mcwhirters W W,,,,46,,,Sold,NTREIS
PAST SALE,February-22-2019,Vacant Land,13608 Fernheath Ln,Dallas,75253,17500,0,,Mcwhirter S W W,,,,46,,,Sold,NTREIS
PAST SALE,March-22-2019,Vacant Land,5227 Malcolm X Blvd,Dallas,75215,17500,0,,Oakland Place Add,,5619,,18,,,Sold,NTREIS
PAST SALE,March-12-2019,Vacant Land,3638 Pine St,Dallas,75210,18000,0,,South Side,,,,28,,,Sold,NTREIS
PAST SALE,February-21-2019,Vacant Land,1725 Stoneman St,Dallas,75215,18500,0,,Ervay Terrace,,7492,,47,,,Sold,NTREIS
PAST SALE,February-15-2019,Vacant Land,3710 Cauthorn Dr,Dallas,75210,19000,0,,Benson Place,,5750,,53,,,Sold,NTREIS
PAST SALE,January-30-2019,Vacant Land,3922 Lovingood Dr,Dallas,75241,20000,0,,Highland Hills 01,,7754,,69,,,Sold,NTREIS
PAST SALE,February-25-2019,Vacant Land,1739 Garza Ave,Dallas,75216,22500,0,,Liberty Heights,,6403,,43,,,Sold,NTREIS
PAST SALE,February-6-2019,Vacant Land,3033 Dorris St,Dallas,75215,22900,0,,Rosebrook Corp Rev,,,,62,,,Sold,NTREIS
PAST SALE,February-14-2019,Vacant Land,506 Avenue L,Dallas,75203,23000,0,,Skyline Heights,,,,54,,,Sold,NTREIS
PAST SALE,March-20-2019,Vacant Land,2374 Oakdale Ave,Dallas,75241,23000,0,,Alameda Heights No.2,,7579,,20,,,Sold,NTREIS
PAST SALE,March-28-2019,Vacant Land,6403 Kemrock Dr,Dallas,75241,23900,0,,Carver Heights,,,,12,,,Sold,NTREIS
PAST SALE,January-31-2019,Vacant Land,3318 Seaton Dr,Dallas,75216,25000,0,,Fruitdale Acres,,11326,,68,,,Sold,NTREIS
PAST SALE,March-15-2019,Vacant Land,6412 Teague Dr,Dallas,75241,27500,0,,Alameda Heights,,7318,,25,,,Sold,NTREIS
PAST SALE,January-24-2019,Vacant Land,317 N Jim Miller Rd,Dallas,75217,27900,0,,Griffin Sub,,,,75,,,Sold,NTREIS
